filename,LASSCF,CASCI,LASSI,LSILCCSD
chn-002-2.0,-294.988354919661,-294.9899945501192,-294.9894311161154,-294.989538018
chn-002-2.1,-295.0068023125174,-295.00714114304714,-295.0071214054337,-295.007121453
chn-002-2.2,-295.00535443969864,-295.0055470633918,-295.00552164622434,-295.005521712
chn-002-2.3,-295.2894721855813,-295.2909578530494,-295.2908042331939,-295.290881529
chn-002-2.4,-295.2898633404876,-295.2913427510031,-295.2911909817003,-295.291251489
chn-002-2.5,-295.2901619833956,-295.2916361620146,-295.2914859065169,-295.291546287
chn-002-2.6,-295.2903951914444,-295.2918649619278,-295.2917159544206,-295.291776225
chn-002-2.7,-295.29058381040056,-295.29204983279726,-295.2919018638312,-295.291962037
chn-002-2.8,-295.29074306888924,-295.2922058713909,-295.2920587759719,-295.292118861
chn-002-2.9,-295.29088342438337,-295.2923434318563,-295.29219707953854,-295.292257086
chn-002-3.0,-295.2910115486767,-295.2924691034527,-295.29232339060604,-295.292383324
chn-002-3.1,-295.29113132327365,-295.2925867100665,-295.29244155294185,-295.292501421
chn-002-3.2,-295.2912447340512,-295.2926981888036,-295.29255351922694,-295.292613326
chn-002-3.3,-295.29135259907866,-295.29280432073426,-295.2926600823442,-295.292719834
chn-002-3.4,-295.29145510759304,-295.2929052637312,-295.292761409498,-295.292821109
chn-002-3.5,-295.29155218258984,-295.2930009229378,-295.2928574124044,-295.292917064
chn-003--0.1,-295.4599592751448,-295.55567058596705,-295.5511901753263,-295.552747031
chn-003--0.2,-295.28417673704126,-295.4271321314634,-295.4264993895535,-295.426645169
chn-003--0.3,-294.9419522646101,-294.9417116734434,-294.94573517524145,-294.945834866
chn-003-0.0,-295.53609835453494,-295.64726956407014,-295.6452514368565,-295.646117477
chn-003-0.1,-295.54716363040995,-295.6336806793972,-295.6308032187367,-295.632171926
chn-003-0.2,-295.4978017376013,-295.52771162135815,-295.52503008374293,-295.525358175
chn-003-0.3,-295.47611185462745,-295.4911528100123,-295.4893585787105,-295.48968385
chn-003-0.4,-295.40272530556,-295.43974314121834,-295.4095498937442,-295.433108367
chn-003-0.5,-295.4639789972159,-295.46755033937535,-295.4666102891395,-295.466693117
chn-003-0.6,-295.28839285267594,-295.3084546262343,-295.3050640239145,-295.30578437
chn-003-0.7,-295.41676978635917,-295.41819930290393,-295.4174922203397,-295.417537275
chn-003-0.8,-295.27152298371897,-295.2716053496923,-295.2715889615952,-295.271595397
chn-003-0.9,-295.2383371764632,-295.2383723483076,-295.2383641958752,-295.238370941
chn-003-1.0,-295.21297462119514,-295.21299817841765,-295.2129864957412,-295.212997976
chn-003-1.1,-295.1831076480235,-295.18312573941756,-295.1831129346747,-295.183125598
chn-003-1.2,-295.28263514285123,-295.28265450759335,-295.2826491593512,-295.282649298
chn-003-1.3,-295.1225478322626,-295.1232940094006,-295.1232629399257,-295.123288087
chn-003-1.4,-295.1166484512463,-295.116688145794,-295.11668633760695,-295.116686381
chn-003-1.5,-295.2470533533964,-295.24706235858093,-295.24706169747697,-295.247061806
chn-003-1.6,-295.167976054483,-295.16798981082627,-295.16806528639,-295.168066437
chn-003-1.7,-295.0439408401917,-295.04369916672783,-295.044198674596,-295.044198783
chn-003-1.8,-294.96639538842976,-294.96636471580763,-294.96644513266483,-294.966445173
chn-003-1.9,-294.9987531002855,-295.0001391190698,-294.9987537544086,-294.998753865
chn-003-2.0,-295.0077878519288,-295.00319067154834,-295.01635663864073,-295.016357467
chn-003-2.1,-295.0068023125174,-295.00714114304714,-295.0071214054337,-295.007121453
chn-003-2.2,-295.00535443969864,-295.0055470633918,-295.00552164622434,-295.005521712
chn-003-2.3,-295.2894721855813,-295.2909578530494,-295.2908042331939,-295.290881529
chn-003-2.4,-295.2898633404876,-295.2913427510031,-295.2911909817003,-295.29125295
chn-003-2.5,-295.2901619833956,-295.2916361620146,-295.2914859065169,-295.291547732
chn-003-2.6,-295.2903951914444,-295.2918649619278,-295.2917159544206,-295.291792398
chn-003-2.7,-295.29058381040056,-295.29204983279726,-295.2919018638312,-295.291963455
chn-003-2.8,-295.29074306888924,-295.2922058713909,-295.2920587759719,-295.292134826
chn-003-2.9,-295.29088342438337,-295.2923434318563,-295.29219707953854,-295.292258482
chn-003-3.0,-295.2910115486767,-295.2924691034527,-295.29232339060604,-295.292399133
chn-003-3.1,-295.29113132327365,-295.2925867100665,-295.29244155294185,-295.2925028
chn-003-3.2,-295.2912447340512,-295.2926981888036,-295.29255351922694,-295.292629013
chn-003-3.3,-295.29135259907866,-295.29280432073426,-295.2926600823442,-295.292721197
chn-003-3.4,-295.29145510759304,-295.2929052637312,-295.292761409498,-295.292836701
chn-003-3.5,-295.29155218258984,-295.2930009229378,-295.2928574124044,-295.292932616
